venue_fk,id,email,remarks
2470,580,bulli@au.brahmakumaris.org,
755,581,wollongong@au.brahmakumaris.org,
2070,456,puebla@mx.brahmakumaris.org,
2097,459,bkalbany.ny@gmail.com,
2133,472,penshurst@au.brahmakumaris.org,
2205,482,oslo@no.brahmakumaris.org,
2257,496,toronto@ca.brahmakumaris.org,
77,313,warszawa@galeriamedytacji.pl,
430,508,etoile.paris@rajayogameditation.fr,
2266,517,halifax@ca.brahmakumaris.org,
2272,521,bk.inspirationhouse@gmail.com,
88,583,wollongong@au.brahmakumaris.org,
2038,442,toronto@ac.brahmakumaris.org,
1271,129,plzen@cz.brahmakumaris.org,
697,451,panama@pa.brahmakumaris.org,
2071,457,rosy.rea@mx.brahmakumaris.org,
2098,460,bkpougkkeepsie.ny@gmail.com,
2134,473,rajayoga108@gmail.com,
45,483,lleida@es.brahmakumaris.org,
2226,486,lyon@rajayogameditation.fr,
2238,489,elianeferrand@yahoo.fr,
561,488,montpellier@rajayogameditation.fr,
2471,584,blacktown@au.brahmakumaris.org,
2040,443,noreply@yahoo.com,
1272,130,plzen@cz.bkws.org,
2101,461,kiryat.ono@il.brahmakumaris.org,
2137,474,johannesburg@za.brahmakumaris.org,
2139,475,harrow@uk.brahmakumaris.org,
2224,484,aberdeen@uk.brahmakumaris.org,
2250,492,aberdeen@uk.brahmakumaris.org,
2475,585,brussels@be.brahmakumaris.org,
2041,444,tallinn@ee.brahmakumaris.org,
2043,445,lotushus@lotushus.is,
2103,462,galway@ie.brahmakumaris.org,
2113,464,portland@us.brahmakumaris.org,
2115,466,eugene@us.brahmakumaris.org,
2152,476,null,
2225,485,lyon@rajayogameditation.fr,
435,491,bordeaux@rajayogameditation.fr,
2492,586,info@ie.brahmakumaris.org,
2047,446,katowice@pl.brahmakumaris.org,
1265,125,liz.corrigan@uk.brahmakumaris.org,
2052,447,terrassa@es.brahmakumaris.org,
2053,448,terrassa@es.brahmakumaris.org,
2057,450,katowice@pl.brahmakumaris.org,
2108,463,dublin@ie.brahmakumaris.org,
2167,477,cambridge@innerspace.org,
2254,495,brussels@be.brahmakumaris.org,
431,509,stplacide.paris@rajayogameditation.fr,
560,510,perpignan@rajayogameditation.fr,
457,514,toulouse@rajayogameditation.fr,
2268,518,null,
2271,520,info@u3anorthgc.com,
35,487,avignon@rajayogameditation.fr,
2497,587,brixton@innerspace.org,
2500,588,brixton@innerspace.org,
1,1,gilfernandes@gmx.at,Gils email address.
705,439,rajayogalemans@gmail.com,
2024,440,bk.albany.ny@gmail.com,
172,15,luton@uk.brahmakumaris.org,
1098,19,aboubaaya@hotmail.com,
1137,33,stuttgart@de.brahmakumaris.org,
1138,34,null,
1146,35,carlow@ie.brahmakumaris.org,
1165,36,geral@bibliotecademonchique.com,
1166,37,lotushus@lotushus.is,
677,38,glasgow@innerspace.org,
614,39,Chicago@us.brahmakumaris.org,
1169,40,canterbury@uk.brahmakumaris.org,
1171,41,meditationmuseum@gmail.com,
422,54,sacramento@us.brahmakumaris.org,
1201,56,bandhagen@se.brahmakumaris.org,
1204,57,fremantle@au.brahmakumaris.org,
1205,58,edinburgh@uk.brahmakumaris.org,
601,78,manhattan@us.brahmakumaris.org,
1228,89,milpitas@us.brahmakumaris.org,
1231,91,dublin@ie.brahmakumaris.org,
610,131,tampa@us.brahmakumaris.org,
1283,142,bk.inspirationhouse@gmail.com,
861,415,cordoba@es.brahmakumaris.org,
1894,416,edgewater@au.brahmakumaris.org,
1905,417,wembley@innerspace.org,
143,418,gdansk@pl.brahmakumaris.org,
1943,426,null,
1318,158,chaguanas@tt.brahmakumaris.org,
1921,419,wakefield@uk.brahmakumaris.org,
1924,420,vancouver@ca.brahmakumaris.org,
1926,421,vancouver@ca.brahmakumaris.org,
466,373,tampere@fi.brahmakumaris.org,
1932,423,mtdruitt@au.brahmakumaris.org,
156,424,lighthouse@brahmakumaris.org,
1940,425,brussels@be.brahmakumaris.org,
1946,427,null,
1952,428,null,
1955,429,southall@uk.brahmakumaris.org,
1081,430,southall@uk.brahmakumaris.org,
1959,431,eugene@us.brahmakumaris.org,
824,432,cambridge@innerspace.org,
1982,434,glasgow@innerspace.org,
1986,435,info@peaceintheparkflorida.org,
1987,436,null,
1996,437,durban@za.brahmakumaris.org,
1997,438,lenasia@za.brahmakumaris.org,
731,369,katowice@pl.brahmakumaris.org,
74,370,lodz@pl.brahmakumaris.org,
1746,371,brighton@uk.brahmakumaris.org,
278,372,southall@uk.brahmakumaris.org,
298,374,bkgph@intnet.mu,
1774,375,uptonpark@uk.brahmakumaris.org,
1200,55,bk.inspirationhouse@gmail.com,
308,376,goldcoast@au.brahmakumaris.org,
484,441,info@it.brahmakumaris.org,
1780,377,goldcoast@au.brahmakumaris.org,
1784,378,canterbury@uk.brahmakumaris.org,
1661,379,canterbury@uk.brahmakumaris.org,
1790,380,mtdruitt@au.brahmakumaris.org,
1791,381,null,
1797,382,kendal@uk.brahmakumaris.org,
1800,383,ocala@us.brahmakumaris.org,
1810,386,bradford@uk.brahmakumaris.org,
1818,387,kalpana.master@gmail.com,
1819,388,terrassa@es.brahmakumaris.org,
1820,389,terrassa@es.brahmakumaris.org,
