channel_link,updated_on,last_synched_on,created_on,event_date_fk,event_fk,id,channel_fk,operation
https://us02web.zoom.us/meeting/register/tZMlcuyvqj8jHt1DUzX6hYgGkfohxoc-oTHV,2021-11-27T11:41:29.807989,2021-11-27T11:41:41.614736,2021-06-28T16:46:56.111922,,3667318,3715751,3709989,UPDATE
,2021-11-27T11:40:08.430668,2021-11-27T11:40:35.514525,2021-06-28T16:47:21.975702,,3651744,3715755,3710037,UPDATE
91581691954,2021-11-27T11:49:27.480923,2021-11-27T11:49:41.174838,2021-06-27T17:39:33.569757,,3705645,3715156,3709989,UPDATE
http://www.facebook.com/brahmakumarisbrighton,2022-08-04T16:53:29.260887,2022-08-04T16:54:14.67124,2021-06-28T19:19:51.501852,,65045,3716376,3709990,DELETE
,2021-11-27T11:52:40.999556,2021-11-27T11:52:52.626311,2021-11-06T16:54:50.051608,,3525769,3870910,3710037,UPDATE
,2021-11-27T12:00:56.783587,2021-11-27T12:01:10.521832,2021-06-27T17:43:22.123482,,3699452,3715163,3710037,UPDATE
,2021-11-27T12:30:19.239837,2021-11-27T12:30:28.942827,2021-06-26T08:31:29.411,,3677148,3714099,3709989,DELETE
,2021-11-27T12:01:43.321691,2021-11-27T12:01:55.334508,2021-11-06T17:47:13.073742,,3547115,3871078,3710037,UPDATE
http://www.facebook.com/brahmakumarisbrighton,2022-08-04T16:52:40.517477,2022-08-04T16:53:03.825872,2021-09-21T09:46:48.960766,,3818223,3818227,3709990,DELETE
98809330687,2021-11-27T11:37:40.464964,2021-11-27T11:38:02.52458,2021-06-27T17:41:38.065651,,3501767,3715158,3709989,UPDATE
,2021-11-27T11:37:40.464964,2021-11-27T11:38:06.755581,2021-06-27T17:41:38.065651,,3501767,3715159,3710037,UPDATE
93394291327,2021-11-27T12:15:19.582451,2021-11-27T12:15:36.66203,2021-06-27T17:36:52.079619,,3705990,3715152,3709989,UPDATE
,2021-11-27T12:07:53.504747,2021-11-27T12:08:06.052922,2021-06-28T16:46:13.459095,,65127,3715746,3710037,UPDATE
https://www.facebook.com/innerspace.glasgow,2021-11-27T12:24:21.146407,2021-11-27T12:24:32.560651,2021-06-28T16:47:57.246354,,3676233,3715757,3709990,DELETE
live,2021-11-27T12:30:19.259212,2021-11-27T12:30:33.334857,2021-06-26T08:31:29.477191,,3677148,3714097,3710003,UPDATE
94103334672,2021-11-27T11:40:08.430668,2021-11-27T11:40:39.811453,2021-06-28T16:47:21.975702,,3651744,3715754,3709989,UPDATE
93705713412,2022-06-03T10:56:00.48263,2022-06-03T10:56:18.533413,2021-06-28T16:45:18.348151,,65008,3715738,3709989,UPDATE
,2022-08-04T16:52:40.517477,2022-08-04T16:53:07.220434,2021-09-21T09:46:48.960766,,3818223,3818228,3710037,DELETE
live,2021-11-27T12:30:40.584668,2021-11-27T12:30:52.693604,2021-06-26T11:16:17.200378,,3699441,3714308,3710003,UPDATE
,2021-11-27T12:29:38.472311,2021-11-27T12:29:54.585403,2021-06-28T16:45:48.636948,,3661734,3715742,3710037,UPDATE
,,2021-06-27T18:38:50.614477,2021-06-27T18:38:44.562846,,3715251,3715254,3710037,INSERT
,2021-11-27T12:24:21.201407,2021-11-27T12:24:36.852672,2021-06-28T16:47:57.246354,,3676233,3715758,3710037,UPDATE
,2021-11-27T12:30:40.584668,2021-11-27T12:30:56.95554,2021-06-26T11:16:17.200378,,3699441,3714309,3710037,UPDATE
5AGE69Y7LcM,2021-11-27T12:07:53.504747,2022-05-21T20:00:15.205383,2021-06-28T16:46:13.459095,,65127,3715744,3709991,UPDATE
live,2021-11-27T11:39:37.524032,2021-11-27T11:39:49.86154,2021-06-27T17:38:33.76088,,3699438,3715154,3710003,UPDATE
,2021-11-27T11:55:54.134994,2021-11-27T11:56:06.026838,2021-11-06T16:58:24.791185,,3825053,3870924,3710037,UPDATE
98307879214,2021-11-27T12:00:38.970166,2021-11-27T12:00:51.119566,2021-06-26T21:16:12.086788,,3705994,3714965,3709989,UPDATE
95159615516,2021-11-27T12:19:04.793413,2021-11-27T12:19:16.714144,2021-06-26T21:14:05.850653,,3706002,3714963,3709989,UPDATE
,2021-11-27T12:06:28.142822,2021-11-27T12:06:42.54452,2021-06-28T16:42:45.807122,,63950,3715734,3710037,UPDATE
84799969743,2021-11-27T11:44:04.272564,2021-11-27T11:44:13.694608,2021-06-28T16:42:33.254233,,3465632,3715733,3709989,UPDATE
https://us02web.zoom.us/meeting/register/tZctdemsrzwuGN1Geu3K7hTFLO0jLOspOgMR&nbsp;,2021-11-27T11:59:42.322152,2021-11-27T11:59:54.21942,2021-06-28T16:44:06.085673,,3547176,3715736,3709989,UPDATE
98851520525,2021-11-27T11:51:30.108492,2021-11-27T11:51:44.509385,2021-06-28T10:57:43.225379,,3715420,3715425,3709989,UPDATE
http://www.facebook.com/brahmakumarisbrighton,2022-06-03T10:56:00.478553,2022-06-03T10:56:20.144153,2021-06-28T16:45:18.348151,,65008,3715739,3709990,DELETE
,2021-11-27T11:52:19.796169,2021-11-27T11:52:31.891972,2021-11-06T16:54:23.520723,,3594510,3870907,3710037,UPDATE
,2021-07-05T10:55:28.975903,2021-07-05T11:00:09.422168,2021-06-28T11:17:34.164381,,3715426,3715431,3710037,UPDATE
live,2021-11-27T12:01:27.511672,2021-11-27T12:01:39.441596,2021-11-06T17:47:00.354266,,3672977,3871077,3710003,UPDATE
,2021-11-27T11:58:47.384505,2021-11-27T11:58:56.902834,2021-06-28T16:46:30.721659,,3478967,3715748,3710037,UPDATE
https://www.youtube.com/brahmakumarisportugal,2021-07-05T10:55:28.975903,2021-07-05T11:00:04.794541,2021-06-28T11:17:34.164381,,3715426,3715430,3709991,UPDATE
,2021-11-27T11:54:31.490429,2021-11-27T11:54:48.551427,2021-11-06T16:56:46.565226,,63365,3870915,3710037,UPDATE
,2021-11-27T12:30:12.727188,2021-11-27T12:31:06.717215,2021-06-28T16:26:44.041827,,3338350,3715726,3710037,UPDATE
,,2021-06-28T14:11:55.936312,2021-06-28T14:11:49.783208,,3715619,3715622,3710037,INSERT
,,2021-06-28T14:44:43.716584,2021-06-28T14:44:35.760905,,3715623,3715626,3710037,INSERT
,,2021-06-28T14:52:04.987333,2021-06-28T14:52:00.954563,,3715627,3715630,3710037,INSERT
,2021-11-27T11:49:21.495495,2021-11-27T11:49:33.09851,2021-06-28T16:48:22.963086,,3368146,3715760,3710037,UPDATE
,2021-11-27T12:30:19.259212,2021-11-27T12:30:37.570283,2021-06-26T08:31:29.477191,,3677148,3714098,3710037,UPDATE
https://www.youtube.com/user/BrahmaKumarisUK,2021-11-27T12:11:58.976251,2021-11-27T12:12:16.641582,2021-06-28T16:16:04.585967,,3361828,3715663,3709991,DELETE
,2021-11-27T11:39:37.524032,2021-11-27T11:39:54.158443,2021-06-27T17:38:33.76088,,3699438,3715155,3710037,UPDATE
,2021-11-27T11:38:07.532279,2021-11-27T11:38:21.814026,2021-06-28T16:44:35.599525,,58486,3715737,3710037,UPDATE
93580710773,2021-11-27T11:45:22.829394,2021-11-27T11:45:34.800197,2021-06-27T17:42:40.191961,,3705640,3715160,3709989,UPDATE
87682443066,2021-11-27T11:42:00.522434,2021-11-27T11:42:12.367444,2021-06-28T16:46:41.962229,,65073,3715749,3709989,UPDATE
,2021-11-27T11:45:22.829394,2021-11-27T11:45:39.11141,2021-06-27T17:42:40.191961,,3705640,3715161,3710037,UPDATE
live,2021-11-27T12:31:06.335652,2021-11-27T12:31:19.994135,2021-06-28T16:45:38.599119,,3545556,3715740,3710003,UPDATE
http://www.facebook.com/brahmakumarisbrighton,2021-11-27T12:07:53.485731,2021-11-27T12:08:07.821418,2021-06-28T16:46:13.459095,,65127,3715745,3709990,DELETE
,2021-11-27T11:54:13.830573,2021-11-27T11:54:26.16451,2021-11-06T16:56:15.655879,,3590331,3870914,3710037,UPDATE
,2021-11-27T11:51:46.857464,2021-11-27T11:52:03.991442,2021-11-06T16:53:50.166122,,63662,3870905,3710037,UPDATE
,2021-11-27T12:11:58.991938,2021-11-27T12:12:20.985551,2021-06-28T16:16:04.585967,,3361828,3715664,3710037,UPDATE
https://www.youtube.com/channel/UCvyk16SyOXFuGWWoRJYtMEg,2021-11-27T12:24:21.146407,2021-11-27T12:24:30.839408,2021-06-28T16:47:57.246354,,3676233,3715756,3709991,DELETE
https://us02web.zoom.us/meeting/register/tZYpdeqprz0vHtIgUiwpjmdLiWUST_HKS0Uz,2021-11-27T11:54:13.830573,2021-11-27T11:54:30.532751,2021-06-28T16:27:38.035103,,3590331,3715727,3709989,UPDATE
,2021-11-27T11:42:00.522434,2021-11-27T11:42:16.651228,2021-06-28T16:46:41.962229,,65073,3715750,3710037,UPDATE
,2021-11-27T11:57:20.267971,2021-11-27T11:58:12.216617,2021-06-28T16:36:42.125731,,3651739,3715730,3710037,UPDATE
,,2022-04-26T13:21:00.357563,2022-04-26T13:08:58.133878,,4048625,4052758,3710037,INSERT
89546831297,2021-11-27T11:52:31.515551,2021-11-27T11:52:43.241512,2021-06-28T16:46:01.866326,,3548281,3715743,3709989,UPDATE
https://www.youtube.com/user/BrahmaKumarisUK,2021-11-27T11:58:47.362593,2021-11-27T11:58:58.712497,2021-06-28T16:46:30.721659,,3478967,3715747,3709991,DELETE
,2021-11-27T11:52:55.090691,2021-11-27T11:53:07.591505,2021-11-06T16:55:01.301746,,3547118,3870911,3710037,UPDATE
,2021-11-27T11:53:03.078574,2021-11-27T11:53:15.616646,2021-06-28T16:47:07.786258,,3688689,3715753,3710037,UPDATE
,2021-11-27T12:15:19.582451,2021-11-27T12:15:31.745418,2021-06-27T17:36:52.079619,,3705990,3715153,3710037,UPDATE
,2021-11-27T12:00:38.970166,2021-11-27T12:00:55.3626,2021-06-26T21:16:12.086788,,3705994,3714966,3710037,UPDATE
,,2022-04-26T12:01:00.717286,2022-04-26T11:50:16.057603,,4052649,4052652,3710037,INSERT
,,2022-04-26T12:01:00.717286,2022-04-26T11:51:09.019143,,4052649,4052653,3710037,INSERT
live,2021-11-27T12:29:38.472311,2021-11-27T12:29:50.359196,2021-06-28T16:45:48.636948,,3661734,3715741,3710003,UPDATE
,2021-11-27T11:49:27.452974,2021-11-27T11:49:36.931137,2021-06-27T17:39:33.569757,,3705645,3715157,3710037,DELETE
https://zoom.us,2022-04-26T20:11:16.141533,2022-04-26T20:11:26.153649,2022-04-26T20:08:41.951795,,4053013,4053016,3709989,UPDATE
